Trait_category,,Trait_name,Subtrait,,,,Frequency,Description (if required),,,,,
Site environment,1,synonyms,,,,,,,,,,,
Site environment,2,family,,,,,,,,,,,
Site environment,3,common_name,,,,,,,,,,,
Site environment,4,light_level,fullsun,light_levelfullsun,4686,4,,,,,,,
Site environment,5,light_level,partshade,light_levelpartshade,2097,5,,,,,,,
Site environment,6,light_level,fullshade,light_levelfullshade,476,6,,,,,,,
Site environment,7,light_level,lightshade,light_levellightshade,1437,7,,,,,,,
Site environment,8,frost_tolerance,Yes,frost_toleranceYes,1800,8,1800,"Includes ""frost tolerance"" and ""heavy frost tolerance""",,,,,
Site environment,9,frost_tolerance,No,frost_toleranceNo,1012,9,1012,,,,,,
Site environment,10,lightfrost_tolerance,Yes,lightfrost_toleranceYes,1276,10,1276,"e.g. Temperatures  ~ 0 to -5 degrees C or ""light frosts"" if specified",,,,,
Site environment,11,lightfrost_tolerance,No,lightfrost_toleranceNo,5,11,5,,,,,,
Site environment,12,severedrought_tolerance,Yes,severedrought_toleranceYes,216,12,216,e.g. Desiccation tolerance,,,,,
Site environment,13,severedrought_tolerance,No,severedrought_toleranceNo,73,13,73,,,,,,
Site environment,14,drought_tolerance,Yes,drought_toleranceYes,1729,14,1729,tolerate dry periods,,,,,
Site environment,15,drought_tolerance,No,drought_toleranceNo,364,15,364,e.g. needs regular watering during dry weather,,,,,
Site environment,16,salinity_tolerance,Yes,salinity_toleranceYes,356,16,356,e.g.tolerates saline soils,,,,,
Site environment,17,salinity_tolerance,No,salinity_toleranceNo,234,17,234,e.g. sensative to salinity,,,,,
Site environment,18,wind_tolerance,Yes,wind_toleranceYes,689,18,689,,,,,,
Site environment,19,wind_tolerance,No,wind_toleranceNo,530,19,530,e.g. requires sheltered position,,,,,
Site environment,20,heat_tolerance,Yes,heat_toleranceYes,337,20,337,,,,,,
Site environment,21,heat_tolerance,No,heat_toleranceNo,101,21,101,,,,,,
Site environment,22,pollution_tolerance,Yes,pollution_toleranceYes,261,22,261,e.g. tolerates urban pollution,,,,,
Site environment,23,pollution_tolerance,No,pollution_toleranceNo,13,23,13,,,,,,
Site environment,24,coastal_tolerance,Yes,coastal_toleranceYes,817,24,817,e.g. tolerates salt-laden wind,,,,,
Site environment,25,coastal_tolerance,No,coastal_toleranceNo,50,25,50,,,,,,
Site environment,26,frequentwaterlogging,Yes,frequentwaterloggingYes,32,26,32,e.g. boggy marshy environments,,,,,
Site environment,27,frequentwaterlogging,No,frequentwaterloggingNo,7,27,7,,,,,,
Site environment,28,waterlogging_tolerance,Yes,waterlogging_toleranceYes,201,28,201,e.g. periodic inundation or flooding,,,,,
Site environment,29,waterlogging_tolerance,No,waterlogging_toleranceNo,131,29,131,e.g. sensative to waterlogging,,,,,
Site environment,30,shade_tolerance,Yes,shade_toleranceYes,78,30,78,"similar to ""fullshade"" in ""light_level"" Trait name",,,,,
Site environment,31,shade_tolerance,No,shade_toleranceNo,110,31,110,e.g. does not do well in shade,,,,,
Site environment,32,soilcompaction_tolerance,Yes,soilcompaction_toleranceYes,70,32,70,,,,,,
Site environment,33,soilcompaction_tolerance,No,soilcompaction_toleranceNo,27,33,27,,,,,,
Site environment,34,soil_type,sand,soil_typesand,2398,34,,,,,,,
Site environment,35,soil_type,loam,soil_typeloam,2537,35,,,,,,,
Site environment,36,soil_type,clay,soil_typeclay,1652,36,,,,,,,
Site environment,37,soil_type,gravel,soil_typegravel,104,37,,,,,,,
Site environment,38,soil_type,clay_loam,soil_typeclay_loam,417,38,,,,,,,
Site environment,39,soil_type,sand_loam,soil_typesand_loam,549,39,549,,,,,,
Site environment,40,soil_volume,<1m3,,0,,,,,470,,,
Site environment,41,soil_volume,1_10,soil_volume1_10,9,41,,,,471,,,
Site environment,42,soil_volume,10_20,soil_volume10_20,11,42,,,,472,,,
Site environment,43,soil_volume,20_30,soil_volume20_30,10,43,,,,473,,,
Site environment,44,soil_volume,30_40,soil_volume30_40,10,44,,,,474,,,
Site environment,45,soil_volume,40_60,soil_volume40_60,9,45,,,,475,,,
Site environment,46,soil_volume,60_80,soil_volume60_80,24,46,,,,476,,,
Site environment,47,soil_volume,80_100,soil_volume80_100,4,47,,,,477,,,
Site environment,48,soil_volume,>100m3,soil_volume>100m3,10,48,,,,478,,,
Site environment,49,soil_volume,deep,soil_volumedeep,10,49,,"Residual from ""root_depth"" trait that was removed after speaking to Tim from Andreasons",,479,,,
Site environment,50,soil_volume,average,soil_volumeaverage,6,50,,"Residual from ""root_depth"" trait that was removed after speaking to Tim from Andreasons",,480,,,
Site environment,51,soil_volume,shallow,soil_volumeshallow,11,51,,"Residual from ""root_depth"" trait that was removed after speaking to Tim from Andreasons",,481,,,
Site environment,52,soil_character,welldrained,soil_characterwelldrained,788,52,,,,482,,,
Site environment,53,soil_character,moist,soil_charactermoist,338,53,,,,483,,,
Site environment,54,soil_character,fertile,soil_characterfertile,38,54,,,,484,,,
Site environment,55,soil_character,most,soil_charactermost,295,55,,e.g. grows in most soils,,485,,,
Site environment,56,soil_fertility,low,soil_fertilitylow,360,56,,poor soils,,486,,,
Site environment,57,soil_fertility,medium,soil_fertilitymedium,126,57,,moderately fertile,,487,,,
Site environment,58,soil_fertility,high,soil_fertilityhigh,78,58,,e.g. fertile soils,,488,,,
Site environment,59,soil_fertility,any,soil_fertilityany,213,59,,,,489,,,
Site environment,60,soil_pH,acid,soil_pHacid,1766,60,,,,490,,,
Site environment,61,soil_pH,neutral,soil_pHneutral,1968,61,,,,491,,,
Site environment,62,soil_pH,alkaline,soil_pHalkaline,1465,62,,,,492,,,
Site environment,63,soil_pH,slight_acid,soil_pHslight_acid,62,63,,,,493,,,
Site environment,64,soil_pH,slight_alkaline,soil_pHslight_alkaline,87,64,,,,494,,,
Site environment,65,soil_pH,most_pH,,,,,,,495,,,
Site environment,66,establishment_care,frostprotection,establishment_carefrostprotection,97,66,,e.g. Protect from frost when young,,496,,,
Site environment,67,establishment_care,windprotection,establishment_carewindprotection,24,67,,e.g. Sheltered position when young,,497,,,
Site environment,68,establishment_care,water,establishment_carewater,215,68,,e.g. water well during establishment,,498,,,
Site environment,69,establishment_care,grafting,establishment_caregrafting,15,69,,e.g. commonly grafing is required,,499,,,
Site environment,70,establishment_care,pruning,establishment_carepruning,88,70,,e.g. formative pruning required,,500,,,
Site environment,71,establishment_care,part_shade,establishment_carepart_shade,12,71,,e.g. protect from full sun when young,,501,,,
Site environment,72,establishment_care,raised_bed,establishment_careraised_bed,4,72,,e.g. plant in a raised bed,,502,,,
Site environment,73,establishment_care,fertiliser,establishment_carefertiliser,25,73,,e.g. apply fertiliser when young,,503,,,
Site environment,74,establishment_care,staking,establishment_carestaking,8,74,,,,504,,,
Site environment,75,establishment_care,mulching,establishment_caremulching,40,75,,,,505,,,
Site environment,76,ideal_conditions,flowers_fullsun,ideal_conditionsflowers_fullsun,38,76,,"e.g. to maximise flowering, plant in full sun",,506,,,
Site environment,77,ideal_conditions,lateral_space,ideal_conditionslateral_space,68,77,,e.g. plant in an open location with plenty of room,,507,,,
Site environment,78,ideal_conditions,protected,ideal_conditionsprotected,64,78,,e.g. grows best in sheltered spot,,508,,,
Site environment,79,ideal_conditions,cool,ideal_conditionscool,116,79,,e.g. grows best in cool climates,,509,,,
Site environment,80,ideal_conditions,fullsun,ideal_conditionsfullsun,187,80,,,,510,,,
Site environment,81,ideal_conditions,moist,ideal_conditionsmoist,271,81,,e.g. keep well watered for best results,,511,,,
Site environment,82,ideal_conditions,well_drained,ideal_conditionswell_drained,275,82,,e.g. prefers well drained soil,,512,,,
Site environment,83,ideal_conditions,large_rootspace,ideal_conditionslarge_rootspace,17,83,,,,513,,,
Site environment,84,ideal_conditions,acidic,ideal_conditionsacidic,48,84,,acidic soils,,514,,,
Site environment,85,ideal_conditions,partshade,ideal_conditionspartshade,44,85,,,,515,,,
Site environment,86,ideal_conditions,fertile,ideal_conditionsfertile,156,86,,,,516,,,
Site environment,87,ideal_conditions,warm,ideal_conditionswarm,70,87,,grows best in warm climates,,517,,,
Site environment,88,ideal_conditions,neutral_pH,ideal_conditionsneutral_pH,3,88,,,,518,,,
Site environment,89,ideal_conditions,clay_soil,ideal_conditionsclay_soil,10,89,,,,519,,,
Site environment,90,ideal_conditions,sandy_soil,ideal_conditionssandy_soil,15,90,,,,520,,,
Site environment,91,ideal_conditions,alkaline,ideal_conditionsalkaline,8,91,,alkaline soils,,521,,,
Site environment,92,ideal_conditions,poorly_drained,ideal_conditionspoorly_drained,47,92,,,,522,,,
Site environment,93,ideal_conditions,loamy_soils,ideal_conditionsloamy_soils,47,93,,,,523,,,
Site environment,94,ideal_conditions,variable,ideal_conditionsvariable,1,94,,grows best in a range of conditions,,524,,,
Aesthetics,95,habit,upright,habitupright,218,95,,synonym: erect habit,,525,,,
Aesthetics,96,habit,weeping,habitweeping,84,96,,,,526,,,
Aesthetics,97,habit,pendulous,habitpendulous,23,97,,,,527,,,
Aesthetics,98,habit,prostrate,habitprostrate,16,98,,,,528,,,
Aesthetics,99,habit,hedging_possible,habithedging_possible,521,99,,e.g. can be grown a s a hedge/ hedging plant,,529,,,
Aesthetics,100,habit,bushy,habitbushy,113,100,,,,530,,,
Aesthetics,101,habit,rosette,habitrosette,15,101,, e.g. rosette of strappy leaves,,531,,,
Aesthetics,102,habit,narrow,habitnarrow,22,102,,,,532,,,
Aesthetics,103,habit,dense,habitdense,320,103,,,,533,,,
Aesthetics,104,habit,spreading,habitspreading,413,104,,,,534,,,
Aesthetics,105,habit,climbing,habitclimbing,1,105,,,,535,,,
Aesthetics,106,habit,clumping,habitclumping,100,106,,,,536,,,
Aesthetics,107,habit,arborescent,habitarborescent,11,107,,"tree like, used to describe palmtrees for example",,537,,,
Aesthetics,108,habit,branching,habitbranching,28,108,,,,538,,,
Aesthetics,109,habit,vigrous,habitvigrous,1,109,,,,539,,,
Aesthetics,110,habit,variable,habitvariable,33,110,,,,540,,,
Aesthetics,111,habit,compact,habitcompact,30,111,,,,541,,,
Aesthetics,112,habit,open,habitopen,115,112,,,,542,,,
Aesthetics,113,habit,vase_shaped,habitvase_shaped,2,113,,,,543,,,
Aesthetics,114,habit,shrubby,habitshrubby,10,114,,,,544,,,
Aesthetics,115,habit,low_growing,habitlow_growing,1,115,,,,545,,,
Aesthetics,116,habit,twisted,habittwisted,4,116,,,,546,,,
Aesthetics,117,habit,rounded,habitrounded,149,117,,,,547,,,
Aesthetics,118,multistem_development,Yes,multistem_developmentYes,189,118,189,e.g. is multi-trunked/mallee form/keep pruned to avoid multistemmed,,548,,,
Aesthetics,119,multistem_development,No,multistem_developmentNo,58,119,58,,,549,,,
Aesthetics,120,form,smallshrub,formsmallshrub,503,120,,,,550,,,
Aesthetics,121,form,medshrub,formmedshrub,371,121,,,,551,,,
Aesthetics,122,form,largeshrub,formlargeshrub,398,122,,,,552,,,
Aesthetics,123,form,smalltree,formsmalltree,429,123,,,,553,,,
Aesthetics,124,form,medtree,formmedtree,260,124,,,,554,,,
Aesthetics,125,form,largetree,formlargetree,319,125,,,,555,,,
Aesthetics,126,form,herb,formherb,38,126,,,,,,,
Aesthetics,127,form,climber,formclimber,200,127,,,,,,,
Aesthetics,128,form,palm,formpalm,115,128,,,,,,,
Aesthetics,129,form,grass,formgrass,227,129,,,,,,,
Aesthetics,130,form,cycad,formcycad,73,130,,,,,,,
Aesthetics,131,form,strap-leaved,formstrap-leaved,61,131,,,,,,,
Aesthetics,132,form,sedge,formsedge,3,132,,,,,,,
Aesthetics,133,form,succulent,formsucculent,105,133,,,,,,,
Aesthetics,134,form,perennial,formperennial,885,134,,,,,,,
Aesthetics,135,form,shrub,formshrub,1120,135,,,,,,,
Aesthetics,136,form,tree,formtree,605,136,,,,,,,
Aesthetics,137,form,fern,formfern,118,137,,,,,,,
Aesthetics,138,form,bulb,formbulb,140,138,,synonyms: corm/tuber,,,,,
Aesthetics,139,form,annual,formannual,565,139,,,,,,,
Aesthetics,140,form,vegetable,formvegetable,37,140,,,,,,,
Aesthetics,141,form,aquatic,formaquatic,5,141,,,,,,,
Aesthetics,142,form,orchid,formorchid,25,142,,,,,,,
Aesthetics,143,dimensions,climate_dependant,dimensionsclimate_dependant,14,143,,e.g. grows much larger in Brisbane than Sydney,,,,,
Aesthetics,144,dimensions,water_dependant,dimensionswater_dependant,12,144,,e.g. size depends on rainfall zone,,,,,
Aesthetics,145,dimensions,consistent,dimensionsconsistent,4,145,,,,,,,
Aesthetics,146,dimensions,variable_cultivars,dimensionsvariable_cultivars,61,146,,not consistently applied to all species (just when I've noticed this mentioned),,,,,
Aesthetics,147,dimensions,site_dependant,dimensionssite_dependant,55,147,,variable depending on microenvironment and space at the planting site,,,,,
Aesthetics,148,dimensions,seedstock_dependant,dimensionsseedstock_dependant,8,148,,e.g. depends on the origin of the seed,,,,,
Aesthetics,149,max_height_nature,meters,,,,,see previous tab,,,,,
Aesthetics,150,max_height,meters,,,,,see previous tab,,,,,
Aesthetics,151,height,meters,,,,,see previous tab,,,,,
Aesthetics,152,min_height,meters,,,,,see previous tab,,,,,
Aesthetics,153,max_width,meters,,,,,see previous tab,,,,,
Aesthetics,154,width,meters,,,,,see previous tab,,,,,
Aesthetics,155,min_width,meters,,,,,see previous tab,,,,,
Aesthetics,156,growth_rate,fast,growth_ratefast,1741,156,,or very fast,,,,,
Aesthetics,157,growth_rate,medium,growth_ratemedium,603,157,,e.g. normal/moderate,,,,,
Aesthetics,158,growth_rate,slow,growth_rateslow,277,158,,and very slow,,,,,
Aesthetics,159,growth_rate,climate_dependant,growth_rateclimate_dependant,7,159,,e.g. grows fast in warm climates,,,,,
Aesthetics,160,growth_rate,water_dependant,growth_ratewater_dependant,19,160,,,,,,,
Aesthetics,161,canopy_shape,pyramidal,canopy_shapepyramidal,71,161,,or conical,,,,,
Aesthetics,162,canopy_shape,vase,canopy_shapevase,21,162,,,,,,,
Aesthetics,163,canopy_shape,columnar,canopy_shapecolumnar,59,163,,,,,,,
Aesthetics,164,canopy_shape,oval,canopy_shapeoval,92,164,,,,,,,
Aesthetics,165,canopy_shape,rounded,canopy_shaperounded,212,165,,,,,,,
Aesthetics,166,canopy_shape,open,canopy_shapeopen,184,166,,,,,,,
Aesthetics,167,canopy_shape,spreading,canopy_shapespreading,107,167,,,,,,,
Aesthetics,168,canopy_shape,domed,canopy_shapedomed,57,168,,,,,,,
Aesthetics,169,shade,dense,shadedense,60,169,,e.g. dense foliage or dense canopy,,,,,
Aesthetics,170,shade,medium,shademedium,18,170,,,,,,,
Aesthetics,171,shade,light,shadelight,9,171,,e.g. provides dappled light shade,,,,,
Aesthetics,172,longevity,short (1 - 20 years),longevityshort (1 - 20 years),111,172,,,,,,,
Aesthetics,173,longevity,medium (20 -50 years),longevitymedium (20 -50 years),78,173,,,,,,,
Aesthetics,174,longevity,long (> 50 years),longevitylong (> 50 years),145,174,,,,,,,
Aesthetics,175,longevity,annual,longevityannual,9,175,,"same as ""form"" trait",,,,,
Aesthetics,176,longevity,biennial,longevitybiennial,8,176,,,,,,,
Aesthetics,177,leaf_loss,deciduous,leaf_lossdeciduous,340,177,,,,,,,
Aesthetics,178,leaf_loss,evergreen,leaf_lossevergreen,3298,178,,,,,,,
Aesthetics,179,leaf_loss,semi_deciduous,leaf_losssemi_deciduous,74,179,,,,,,,
Aesthetics,180,leaf_loss,water_dependant,leaf_losswater_dependant,6,180,,e.g. loses leaves in dry periods,,,,,
Aesthetics,181,leaf_loss,climate_dependant,leaf_lossclimate_dependant,17,181,,e.g. loses leaves in cold climates only,,,,,
Aesthetics,182,leaf_description,elliptical,leaf_descriptionelliptical,101,182,,leaf shape,,,,,
Aesthetics,183,leaf_description,round,leaf_descriptionround,16,183,,leaf shape,,,,,
Aesthetics,184,leaf_description,ovate,leaf_descriptionovate,131,184,,leaf shape,,,,,
Aesthetics,185,leaf_description,smooth_margin,leaf_descriptionsmooth_margin,5,185,,leaf,,,,,
Aesthetics,186,leaf_description,oblong,leaf_descriptionoblong,40,186,,leaf shape,,,,,
Aesthetics,187,leaf_description,linear,leaf_descriptionlinear,90,187,,leaf shape,,,,,
Aesthetics,188,leaf_description,fine,leaf_descriptionfine,28,188,,foliage,,,,,
Aesthetics,189,leaf_description,undulate_margin,leaf_descriptionundulate_margin,6,189,,leaf,,,,,
Aesthetics,190,leaf_description,large,leaf_descriptionlarge,32,190,,leaf,,,,,
Aesthetics,191,leaf_description,frond,leaf_descriptionfrond,23,191,,leaf,,,,,
Aesthetics,192,leaf_description,feathery,leaf_descriptionfeathery,20,192,,foliage,,,,,
Aesthetics,193,leaf_description,obovate,leaf_descriptionobovate,66,193,,leaf shape,,,,,
Aesthetics,194,leaf_description,lanceolate,leaf_descriptionlanceolate,182,194,,leaf shape,,,,,
Aesthetics,195,leaf_description,variably_lobed,leaf_descriptionvariably_lobed,7,195,,leaf shape,,,,,
Aesthetics,196,leaf_description,variable,leaf_descriptionvariable,9,196,,leaf shape,,,,,
Aesthetics,197,leaf_description,sword_shaped,leaf_descriptionsword_shaped,7,197,,leaf,,,,,
Aesthetics,198,leaf_description,fan_shaped,leaf_descriptionfan_shaped,5,198,,leaf,,,,,
Aesthetics,199,leaf_description,needle_like,leaf_descriptionneedle_like,23,199,,foliage,,,,,
Aesthetics,200,leaf_description,narrow,leaf_descriptionnarrow,71,200,,leaf,,,,,
Aesthetics,201,leaf_description,cladode,leaf_descriptioncladode,7,201,,,,,,,
Aesthetics,202,leaf_description,deeply_lobed,leaf_descriptiondeeply_lobed,8,202,,leaf shape,,,,,
Aesthetics,203,leaf_description,serrated_margin,leaf_descriptionserrated_margin,32,203,,leaf,,,,,
Aesthetics,204,leaf_description,awl_shaped,leaf_descriptionawl_shaped,2,204,,leaf,,,,,
Aesthetics,205,leaf_description,spirralled,leaf_descriptionspirralled,1,205,,leaf shape,,,,,
Aesthetics,206,leaf_description,ribbon_like,leaf_descriptionribbon_like,1,206,,leaf,,,,,
Aesthetics,207,leaf_description,phylode,leaf_descriptionphylode,16,207,,,,,,,
Aesthetics,208,leaf_description,falcate,leaf_descriptionfalcate,14,208,,,,,,,
Aesthetics,209,leaf_description,whorls,leaf_descriptionwhorls,4,209,,foliage,,,,,
Aesthetics,210,leaf_description,cordate,leaf_descriptioncordate,14,210,,leaf,,,,,
Aesthetics,211,leaf_description,trifoliate,leaf_descriptiontrifoliate,6,211,,leaf,,,,,
Aesthetics,212,leaf_description,maple_like,leaf_descriptionmaple_like,13,212,,leaf shape,,,,,
Aesthetics,213,leaf_description,lobed,leaf_descriptionlobed,31,213,,leaf shape,,,,,
Aesthetics,214,leaf_description,soft,leaf_descriptionsoft,3,214,,leaf,,,,,
Aesthetics,215,leaf_description,rough,leaf_descriptionrough,6,215,,leaf,,,,,
Aesthetics,216,leaf_description,sickle_shaped,leaf_descriptionsickle_shaped,5,216,,leaf,,,,,
Aesthetics,217,leaf_description,fern_like,leaf_descriptionfern_like,4,217,,leaf,,,,,
Aesthetics,218,leaf_description,coarse,leaf_descriptioncoarse,2,218,,leaf,,,,,
Aesthetics,219,leaf_description,scale_like,leaf_descriptionscale_like,15,219,,leaf,,,,,
Aesthetics,220,leaf_description,long,leaf_descriptionlong,10,220,,leaf,,,,,
Aesthetics,221,leaf_description,small,leaf_descriptionsmall,12,221,,leaf,,,,,
Aesthetics,222,leaf_description,heart_shaped,leaf_descriptionheart_shaped,3,222,,leaf,,,,,
Aesthetics,223,leaf_description,rhomboid,leaf_descriptionrhomboid,1,223,,leaf shape,,,,,
Aesthetics,224,leaf_description,grass_like,leaf_descriptiongrass_like,1,224,,leaf,,,,,
Aesthetics,225,leaf_description,broad,leaf_descriptionbroad,5,225,,leaf,,,,,
Aesthetics,226,leaf_description,hairy,leaf_descriptionhairy,1,226,,leaf,,,,,
Aesthetics,227,leaf_description,holly_shaped,leaf_descriptionholly_shaped,1,227,,leaf,,,,,
Aesthetics,228,leaf_description,flattened,leaf_descriptionflattened,3,228,,phylode/cladode,,,,,
Aesthetics,229,leaf_description,shiny,leaf_descriptionshiny,1,229,,leaf,,,,,
Aesthetics,230,leaf_description,needles,leaf_descriptionneedles,3,230,,foliage,,,,,
Aesthetics,231,leaf_description,curved,leaf_descriptioncurved,1,231,,leaf shape,,,,,
Aesthetics,232,leaf_description,triangular_shaped,leaf_descriptiontriangular_shaped,2,232,,leaf,,,,,
Aesthetics,233,leaf_description,parted_margin,leaf_descriptionacuminate,11,238,,leaf,,,,,
Aesthetics,234,leaf_description,incised_margin,leaf_descriptionacicular,29,239,,leaf,,,,,
Aesthetics,235,leaf_description,pectinate,,,,,leaf shape,,,,,
Aesthetics,236,leaf_description,crenate_margin,,,,,leaf,,,,,
Aesthetics,237,leaf_description,oblanceolate,,,,,leaf shape,,,,,
Aesthetics,238,leaf_description,acuminate,,,,,leaf shape,,,,,
Aesthetics,239,leaf_description,acicular,,,,,leaf shape,,,,,
Aesthetics,240,leaf_description,pedate,leaf_descriptionpedate,3,240,,leaf shape,,,,,
Aesthetics,241,leaf_description,palmate,leaf_descriptionpalmate,4,241,,leaf shape,,,,,
Aesthetics,242,leaf_description,elliptic,leaf_descriptionelliptic,26,242,,leaf shape,,,,,
Aesthetics,243,leaf_description,obtuse,leaf_descriptionobtuse,10,243,,leaf shape,,,,,
Aesthetics,244,leaf_description,strappy,leaf_descriptionstrappy,15,244,,leaf shape,,,,,
Aesthetics,245,leaf_description,bilobed,leaf_descriptionbilobed,2,245,,leaf shape,,,,,
