Trait_category,,Trait_name,Subtrait,,,,Frequency,Description (if required),,,,,
Aesthetics,505,fruit_type,woody_ capsule,fruit_typewoody_ capsule,89,505,,used to describe gumnuts for example,,,,,
Aesthetics,506,fruit_type,wrinkled,fruit_typewrinkled,1,506,,,,,,,
Aesthetics,507,fruit_type,achene,fruit_typeachene,23,507,,,,,,,
Aesthetics,508,fruit_type,caryopsis,fruit_typecaryopsis,10,508,,,,,,,
Aesthetics,509,fruit_type,nutlet,fruit_typenutlet,11,509,,,,,,,
Aesthetics,510,fruit_colour,inconspicuous,fruit_colourinconspicuous,16,510,,,,,,,
Aesthetics,511,fruit_colour,red,fruit_colourred,54,511,,,,,,,
Aesthetics,512,fruit_colour,brown,fruit_colourbrown,138,512,,,,,,,
Aesthetics,513,fruit_colour,purple,fruit_colourpurple,22,513,,,,,,,
Aesthetics,514,fruit_colour,green,fruit_colourgreen,45,514,,,,,,,
Aesthetics,515,fruit_colour,pink,fruit_colourpink,9,515,,,,,,,
Aesthetics,516,fruit_colour,orange,fruit_colourorange,19,516,,,,,,,
Aesthetics,517,fruit_colour,darkblue,fruit_colourdarkblue,10,517,,,,,,,
Aesthetics,518,fruit_colour,black,fruit_colourblack,27,518,,,,,,,
Aesthetics,519,fruit_colour,yellow,fruit_colouryellow,20,519,,,,,,,
Aesthetics,520,fruit_colour,gray,fruit_colourgray,27,520,,,,,,,
Aesthetics,521,fruit_colour,white,fruit_colourwhite,10,521,,,,,,,
Aesthetics,522,fruit_colour,blue,fruit_colourblue,8,522,,,,,,,
Aesthetics,523,fruit_colour,magenta,fruit_colourmagenta,1,523,,,,,,,
Aesthetics,524,fruit_colour,tan,,,,,,,,,,
Aesthetics,525,fruit_period,Spring,fruit_periodSpring,7,525,,Australia data only,,,,,
Aesthetics,526,fruit_period,Summer,fruit_periodSummer,33,526,,Australia data only,,,,,
Aesthetics,527,fruit_period,Autumn,fruit_periodAutumn,47,527,,Australia data only,,,,,
Aesthetics,528,fruit_period,Winter,fruit_periodWinter,9,528,,Australia data only,,,,,
Aesthetics,529,fruit_period,Any_time,fruit_periodAny_time,5,529,,Australia data only,,,,,
Aesthetics,530,fruit_period,fruit_persistent,fruit_periodfruit_persistent,60,530,,fruit remains on tree for multiple seasons,,,,,
Aesthetics,531,juvenile_traits,spindly,juvenile_traitsspindly,19,531,,has a spindly growth habit when young,,,,,
Aesthetics,532,juvenile_traits,slow_growing,juvenile_traitsslow_growing,27,532,,,,,,,
Aesthetics,533,juvenile_traits,fast_growing,juvenile_traitsfast_growing,42,533,,,,,,,
Aesthetics,534,juvenile_traits,shade_tolerant,juvenile_traitsshade_tolerant,6,534,,,,,,,
Aesthetics,535,juvenile_traits,bushy_habit,juvenile_traitsbushy_habit,53,535,,,,,,,
Aesthetics,536,juvenile_traits,flowers,juvenile_traitsflowers,10,536,,flowers early in life,,,,,
Aesthetics,537,juvenile_traits,slow_to_flower,juvenile_traitsslow_to_flower,19,537,,takes many years to flower,,,,,
Aesthetics,538,juvenile_traits,red_newleaves,juvenile_traitsred_newleaves,14,538,,,,,,,
Aesthetics,539,juvenile_traits,green_trunk,juvenile_traitsgreen_trunk,14,539,,,,,,,
Aesthetics,540,juvenile_traits,spikey_leaves,juvenile_traitsspikey_leaves,1,540,,has spiky juvinile leaves,,,,,
Aesthetics,541,juvenile_traits,lobed_leaves,juvenile_traitslobed_leaves,5,541,,,,,,,
Aesthetics,542,juvenile_traits,pyramidal_form,juvenile_traitspyramidal_form,23,542,,e.g. has a pyramidal form when young but changes to a spreading canopy when older,,,,,
Aesthetics,543,juvenile_traits,smooth_bark,juvenile_traitssmooth_bark,13,543,,,,,,,
Aesthetics,544,juvenile_traits,round_leaves,juvenile_traitsround_leaves,17,544,,,,,,,
Site Context,545,placement,wet,placementwet,131,545,,plant in a boggy position/pond edge/ drainage channel/low-lying marshy ground etc,,,,,
Site Context,546,placement,potplant,placementpotplant,1296,546,,appropriate for container planting,,,,,
Site Context,547,placement,street,placementstreet,454,547,,including road and highway,,,,,
Site Context,548,placement,avenue,placementavenue,89,548,,for larger street trees that require lateral space,,,,,
Site Context,549,placement,garden,placementgarden,1463,549,,any type of cultivated garden,,,,,
Site Context,550,placement,largegarden,placementlargegarden,120,550,,larger sized species,,,,,
Site Context,551,placement,park,placementpark,589,551,,often for large sized plants,,,,,
Site Context,552,placement,indoor,placementindoor,240,552,,,,,,,
Site Context,553,placement,balcony,placementbalcony,467,553,,or patio or courtyard etc,,,,,
Site Context,554,placement,powerlines,placementpowerlines,13,554,,appropriate for under powerlines (I haven't used this one very much),,,,,
Site Context,555,placement,amenity,placementamenity,137,555,,(I haven't used this one very much),,,,,
Site Context,556,purpose,shade,purposeshade,302,556,,provides shade,,,,,
Site Context,557,purpose,featuretree,purposefeaturetree,268,557,,or specimen tree,,,,,
Site Context,558,purpose,screen,purposescreen,873,558,,"includes noise screen, high hedge etc",,,,,
Site Context,559,purpose,windbreak,purposewindbreak,479,559,,e.g. shelterbelt tree,,,,,
Site Context,560,purpose,erosion,purposeerosion,545,560,,e.g. soil stabilisation/ soil rehabiliation/steep hillsides/shoreline stabilisation,,,,,
Site Context,561,purpose,massplanting,purposemassplanting,211,561,,,,,,,
Site Context,562,purpose,border,purposeborder,937,562,,,,,,,
Site Context,563,purpose,groundcover,purposegroundcover,722,563,,Many databases used this term to describe a plant form. They all went into this category,,,,,
Site Context,564,purpose,fire_retardant,purposefire_retardant,165,564,,Less flammable than other plants..? Only used with this exact term,,,,,
Site Context,565,purpose,edible,purposeedible,383,565,,"anything classed as edible without preperation including tea,herbs, fruit, vegetable, nut",,,,,
Site Context,566,purpose,apiary,purposeapiary,50,566,,bee food or grown for honey production,,,,,
Site Context,567,purpose,sensorytouch,purposesensorytouch,7,567,,plant with textured surfaces appropriate for children,,,,,
Site Context,568,purpose,sensorycolour,purposesensorycolour,28,568,,used in sensory gardens,,,,,
Site Context,569,purpose,cutflowers,purposecutflowers,241,569,,good source of flowers for decoration,,,,,
Site Context,570,purpose,featuretropical,purposefeaturetropical,24,570,,"e.g. poolside plants, palms, tropical garden plants",,,,,
Site Context,571,purpose,featureshrub,purposefeatureshrub,87,571,,or specemin shrub,,,,,
Site Context,572,purpose,sensorysound,purposesensorysound,3,572,,basically just for casurinas when the wind blows through the leaves and makes a nice sound.. We can get rid of it,,,,,
Site Context,573,purpose,cutfoliage,purposecutfoliage,7,573,,foliage used in flower decorations,,,,,
Site Context,574,purpose,feature,purposefeature,1545,574,,for when the plant isn't distinguished as a shrub or tree but can be used as a feature plant,,,,,
Site Context,575,purpose,tea,purposetea,9,575,,you can make tea with the leaves of this plant,,,,,
Site Context,576,purpose,playgroundfriendly,purposeplaygroundfriendly,313,576,,a unique Gardeningwithangus database trait.. Might be useful,,,,,
Site Context,577,purpose,habitat,purposehabitat,693,577,,a Plant_selector_plus trait.. Sounds a bit vague,,,,,
Site Context,578,climate_of_origin,temperate,climate_of_origintemperate,296,578,,,,,,,
Site Context,579,climate_of_origin,arid,climate_of_originarid,105,579,,,,,,,
Site Context,580,climate_of_origin,semiarid,climate_of_originsemiarid,252,580,,,,,,,
Site Context,581,climate_of_origin,tropical,climate_of_origintropical,278,581,,,,,,,
Site Context,582,climate_of_origin,mediterranean,climate_of_originmediterranean,157,582,,,,,,,
Site Context,583,climate_of_origin,montane,climate_of_originmontane,17,583,,,,,,,
Site Context,584,climate_of_origin,subtropical,climate_of_originsubtropical,341,584,,,,,,,
Site Context,585,climate_of_origin,subarctic,climate_of_originsubarctic,1,585,,,,,,,
Site Context,586,climate_of_origin,submediterranean,climate_of_originsubmediterranean,29,586,,,,,,,
Site Context,587,country_of_origin,Australia,country_of_originAustralia,905,587,,,,,,,
Site Context,588,country_of_origin,USA,country_of_originUSA,125,588,,,,,,,
Site Context,589,country_of_origin,S_Africa,country_of_originS_Africa,9,589,,,,,,,
Site Context,590,country_of_origin,PNG,country_of_originPNG,4,590,,,,,,,
Site Context,591,country_of_origin,Canary Islands,country_of_originCanary Islands,1,591,,,,,,,
Site Context,,country_of_origin,Chile,,,,,,,,,,
Site Context,,country_of_origin,Greece,,,,,,,,,,
Site Context,,country_of_origin,Spain,,,,,,,,,,
Site Context,592,country_of_origin,Madagascar,country_of_originMadagascar,2,592,,,,,,,
Site Context,593,country_of_origin,China,country_of_originChina,202,593,,,,,,,
Site Context,594,country_of_origin,Japan,country_of_originJapan,64,594,,,,,,,
Site Context,595,country_of_origin,New Zealand,country_of_originNew Zealand,33,595,,,,,,,
Site Context,596,country_of_origin,UK,country_of_originUK,2,596,,,,,,,
Site Context,597,country_of_origin,India,country_of_originIndia,1,597,,,,,,,
Site Context,598,country_of_origin,Turkey,country_of_originTurkey,1,598,,,,,,,
Site Context,599,country_of_origin,Mexico,country_of_originMexico,79,599,,,,,,,
Site Context,600,country_of_origin,Brazil,country_of_originBrazil,3,600,,,,,,,
Site Context,601,country_of_origin,Morocco,country_of_originMorocco,1,601,,,,,,,
Site Context,602,country_of_origin,New Caledonia,country_of_originNew Caledonia,1,602,,,,,,,
Site Context,603,country_of_origin,Canada,country_of_originCanada,1,603,,,,,,,
Site Context,604,country_of_origin,Iran,country_of_originIran,1,604,,,,,,,
Site Context,605,continent_of_origin,Oceania,continent_of_originOceania,59,605,,,,,,,
Site Context,606,continent_of_origin,Africa,continent_of_originAfrica,13,606,,,,,,,
Site Context,607,continent_of_origin,N_America,continent_of_originN_America,67,607,,,,,N_America,67,606
Site Context,608,continent_of_origin,S_America,continent_of_originS_America,10,608,,,,,S_America,10,607
Site Context,609,continent_of_origin,Europe,continent_of_originEurope,249,609,,,,,Europe,249,608
Site Context,610,continent_of_origin,SE_Asia,continent_of_originSE_Asia,14,610,,,,,SE_Asia,14,609
Site Context,611,continent_of_origin,Asia,continent_of_originAsia,65,611,,,,,Asia,65,610
Site Context,612,ecological_services,bird,ecological_servicesbird,549,612,,bird attracting plant,,,bird,549,611
Site Context,613,ecological_services,pollinator,ecological_servicespollinator,635,613,,pollinator or insect attracting plant,,,pollinator,635,612
Site Context,614,ecological_services,native_mammal,ecological_servicesnative_mammal,77,614,,attracts native mammals (this doesn't include koalas yet),,,native_mammal,77,613
Site Context,615,ecological_services,lizard,ecological_serviceslizard,34,615,,a Gardeningwithangus database trait.. Not sure how this is decided,,,lizard,34,614
Site Context,616,ecological_services,bee,ecological_servicesbee,497,616,,a Gardeningwithangus database trait.. Not sure how this is decided,,,bee,497,615
Planting Risks,617,maintenance_level,low,maintenance_levellow,646,617,,,,,,,
Planting Risks,618,maintenance_level,medium,maintenance_levelmedium,146,618,,,,,,,
Planting Risks,619,maintenance_level,high,maintenance_levelhigh,4,619,,,,,,,
Planting Risks,620,maintenance_activities,pruning,maintenance_activitiespruning,210,620,,requires pruning,,,,,
Planting Risks,621,maintenance_activities,watering,maintenance_activitieswatering,166,621,,requires extra watering in hot periods,,,watering,166,620
Planting Risks,622,maintenance_activities,pest_treatment,maintenance_activitiespest_treatment,1,622,,susceptable to pests,,,pest_treatment,1,621
Planting Risks,623,maintenance_activities,fertiliser,maintenance_activitiesfertiliser,62,623,,apply fertiliser annually,,,seedling_removal,26,623
Planting Risks,624,maintenance_activities,seedling_removal,maintenance_activitiesseedling_removal,26,624,,seedling establishment common surrounding the plant,,,,,
Planting Risks,625,maintenance_activities,mulching,maintenance_activitiesmulching,38,625,,mulch to maintain soil moisture,,,,,
Planting Risks,626,supp_watering,low,supp_wateringlow,1932,626,,,,,,,
Planting Risks,627,supp_watering,medium,supp_wateringmedium,827,627,,,,,,,
Planting Risks,628,supp_watering,high,supp_wateringhigh,186,628,,,,,,,
Planting Risks,629,supp_watering,none,supp_wateringnone,106,629,,,,,,,
Planting Risks,630,weed_status,weed_NSW,weed_statusweed_NSW,12,630,,"Not yet systematically completed, just when it was written",,,,,
Planting Risks,631,weed_status,weed_QLD,weed_statusweed_QLD,8,631,,"Not yet systematically completed, just when it was written",,,weed_NSW,12,629
Planting Risks,632,weed_status,weed_SA,weed_statusweed_SA,5,632,,"Not yet systematically completed, just when it was written",,,weed_QLD,8,630
Planting Risks,633,weed_status,weed_VIC,weed_statusweed_VIC,9,633,,"Not yet systematically completed, just when it was written",,,weed_SA,5,631
Planting Risks,634,weed_status,weed_NT,weed_statusweed_WA,7,635,,"Not yet systematically completed, just when it was written",,,weed_VIC,9,632
Planting Risks,635,weed_status,weed_WA,,0,,,"Not yet systematically completed, just when it was written",,,weed_WA,7,634
Planting Risks,636,weed_status,weed_TAS,weed_statusweed_TAS,1,636,,"Not yet systematically completed, just when it was written",,,weed_TAS,1,635
Planting Risks,637,weed_status,weed_ACT,weed_statusweed_ACT,4,637,,"Not yet systematically completed, just when it was written",,,weed_ACT,4,636
Planting Risks,638,weed_status,weed_National,weed_statusweed_National,4,638,,"Not yet systematically completed, just when it was written",,,weed_National,4,637
Planting Risks,639,rootdisturbance_tolerance,Yes,rootdisturbance_toleranceYes,61,639,,,,,,,
Planting Risks,640,rootdisturbance_tolerance,No,rootdisturbance_toleranceNo,79,640,,e.g. take care not to damage roots in transplanting,,,,,
Planting Risks,641,pestdisease_risk,high,pestdisease_riskhigh,2,641,,,,,,,
Planting Risks,642,pestdisease_risk,medium,pestdisease_riskmedium,46,642,,,,,,,
Planting Risks,643,pestdisease_risk,low,pestdisease_risklow,215,643,,none mentioned,,,,,
Planting Risks,644,pests_diseases,aphids,pests_diseasesaphids,21,644,,,,,,,
Planting Risks,645,pests_diseases,verticillium_wilt,pests_diseasesverticillium_wilt,1,645,,,,,aphids,21,643
Planting Risks,646,pests_diseases,mildew,pests_diseasesmildew,7,646,,,,,verticillium_wilt,1,644
Planting Risks,647,pests_diseases,scale,pests_diseasesscale,50,647,,,,,mildew,7,645
Planting Risks,648,pests_diseases,none_known,pests_diseasesnone_known,90,648,,,,,scale,50,646
Planting Risks,649,pests_diseases,borer,pests_diseasesborer,49,649,,,,,none_known,90,647
Planting Risks,650,pests_diseases,root_rot,pests_diseasesroot_rot,25,650,,,,,borer,49,648
Planting Risks,651,pests_diseases,mites,pests_diseasesmites,6,651,,,,,root_rot,25,649
Planting Risks,652,pests_diseases,moth,pests_diseasesmoth,2,652,,,,,mites,6,650
Planting Risks,653,pests_diseases,caterpillar,pests_diseasescaterpillar,10,653,,,,,moth,2,651
Planting Risks,654,pests_diseases,crown_gall,pests_diseasescrown_gall,5,654,,,,,caterpillar,10,652
Planting Risks,655,pests_diseases,phytopthera,pests_diseasesphytopthera,5,655,,,,,crown_gall,5,653
Planting Risks,656,pests_diseases,planthopper,pests_diseasesplanthopper,1,656,,,,,phytopthera,5,654
Planting Risks,657,pests_diseases,sooty_mould,pests_diseasessooty_mould,9,657,,,,,planthopper,1,655
Planting Risks,658,pests_diseases,Giant_palm_weevil,pests_diseasesGiant_palm_weevil,1,658,,,,,sooty_mould,9,656
Planting Risks,659,pests_diseases,fusarium_wilt,pests_diseasesfusarium_wilt,2,659,,,,,Giant_palm_weevil,1,657
Planting Risks,660,pests_diseases,fungus,pests_diseasesfungus,9,660,,,,,fusarium_wilt,2,658
Planting Risks,661,pests_diseases,myrtle_rust,pests_diseasesmyrtle_rust,2,661,,,,,fungus,9,659
Planting Risks,662,pests_diseases,leaf_minor,pests_diseasesleaf_minor,14,662,,,,,myrtle_rust,2,660
Planting Risks,663,pests_diseases,psylid,pests_diseasespsylid,12,663,,,,,leaf_minor,14,661
Planting Risks,664,pests_diseases,slugs,pests_diseasesslugs,3,664,,,,,psylid,12,662
Planting Risks,665,pests_diseases,leaf_feeding,pests_diseasesleaf_feeding,16,665,,,,,slugs,3,663
Planting Risks,666,pests_diseases,thrips,pests_diseasesthrips,1,666,,,,,leaf_feeding,16,664
Planting Risks,667,pests_diseases,leaf_rust,pests_diseasesleaf_rust,9,667,,,,,thrips,1,665
Planting Risks,668,pests_diseases,canker,pests_diseasescanker,16,668,,,,,leaf_rust,9,666
Planting Risks,669,pests_diseases,Metallic_flea_ beetle,pests_diseasesMetallic_flea_ beetle,1,669,,,,,canker,16,667
Planting Risks,670,pests_diseases,leaf_spot,pests_diseasesleaf_spot,9,670,,,,,Metallic_flea_ beetle,1,668
Planting Risks,671,pests_diseases,mealy_bugs,pests_diseasesmealy_bugs,4,671,,,,,leaf_spot,9,669
Planting Risks,672,pests_diseases,sawfly_larvae,pests_diseasessawfly_larvae,5,672,,,,,mealy_bugs,4,670
Planting Risks,673,pests_diseases,white_fly,pests_diseaseswhite_fly,2,673,,,,,sawfly_larvae,5,671
Planting Risks,674,pests_diseases,web_worm,pests_diseasesweb_worm,2,674,,,,,white_fly,2,672
Planting Risks,675,pests_diseases,leaf_scorch,pests_diseasesleaf_scorch,13,675,,,,,web_worm,2,673
Planting Risks,676,pests_diseases,Dutch_Elm,pests_diseasesDutch_Elm,2,676,,,,,leaf_scorch,13,674
Planting Risks,677,pests_diseases,beetles,pests_diseasesbeetles,9,677,,,,,Dutch_Elm,2,675
Planting Risks,678,pests_diseases,anthracnose,pests_diseasesanthracnose,1,678,,,,,beetles,9,676
Planting Risks,679,pests_diseases,fire_blight,pests_diseasesfire_blight,2,679,,,,,anthracnose,1,677
Planting Risks,680,pests_diseases,gall_wasp,pests_diseasesgall_wasp,1,680,,,,,fire_blight,2,678
Planting Risks,681,pests_diseases,weevil,pests_diseasesweevil,2,681,,,,,gall_wasp,1,679
Planting Risks,682,pests_diseases,oak_wilt,pests_diseasesoak_wilt,1,682,,,,,weevil,2,680
Planting Risks,683,pests_diseases,snails,pests_diseasessnails,3,683,,,,,oak_wilt,1,681
Planting Risks,684,pests_diseases,honey_fungus,pests_diseaseshoney_fungus,2,684,,,,,snails,3,682
Planting Risks,685,pests_diseases,adelgids,pests_diseasesadelgids,2,685,,,,,honey_fungus,2,683
Planting Risks,686,risk,branchdrop,riskbranchdrop,53,686,,plant susceptable to dropping  branches,,,adelgids,2,684
Planting Risks,687,risk,allergen,riskallergen,47,687,,,,,branchdrop,53,685
Planting Risks,688,risk,poison,riskpoison,41,688,,some part of the plant is known to be poisonous,,,allergen,47,686
Planting Risks,689,risk,largesize,risklargesize,107,689,,species grows to a large size and may become a hazard in most urban situations,,,poison,41,687
Planting Risks,690,risk,spikey,riskspikey,41,690,,thorns/spines/spikes/needles on leaves or stems,,,largesize,107,688
Planting Risks,691,risk,possible_weed,riskpossible_weed,205,691,,spreads quickly or is a weed risk,,,spikey,41,689
Planting Risks,692,risk,fruitfall,riskfruitfall,103,692,,e.g. this species drops fruit and requires maintenance in urban areas,,,possible_weed,210,690
Planting Risks,693,risk,litterfall,risklitterfall,65,693,,drops a lot of leaf litter,,,fruitfall,103,691
Planting Risks,694,risk,disease_prone,riskdisease_prone,14,694,,,,,litterfall,65,692
Planting Risks,695,risk,suckering,risksuckering,49,695,,the roots are known to sucker and cause secondary growth/plants,,,disease_prone,14,693
Planting Risks,696,risk,infrastructure_damage,riskinfrastructure_damage,46,696,,known to be at risk of causing damage to infrastructure,,,suckering,49,694
Planting Risks,697,risk,highly_flammable,riskhighly_flammable,3,697,,,,,infrastructure_damage,46,695
Planting Risks,698,risk,sap_fall,risksap_fall,3,698,,drops sap on the pavement,,,highly_flammable,3,696
Planting Risks,699,risk,malodorous,riskmalodorous,3,699,,smells bad,,,sap_fall,3,697
Planting Risks,700,invasive_roots,non_invasive,invasive_rootsnon_invasive,41,700,,,,,non_invasive,41,699
Planting Risks,701,invasive_roots,surface,invasive_rootssurface,61,701,,forms large surface roots that might be a hazard,,,surface,61,700
Planting Risks,702,invasive_roots,sewer_2,invasive_rootssewer_2,15,702,,from Plant selector plus,,,sewer_2,15,701
Planting Risks,703,invasive_roots,sewer_3.5,invasive_rootssewer_3.5,30,703,,from Plant selector plus,,,sewer_3.5,30,702
Planting Risks,704,invasive_roots,sewer_4,invasive_rootssewer_4,14,704,,from Plant selector plus,,,sewer_4,14,703
Planting Risks,705,invasive_roots,sewer_6,invasive_rootssewer_6,62,705,,from Plant selector plus,,,sewer_6,62,704
Planting Risks,706,invasive_roots,sewer_10,invasive_rootssewer_10,10,706,,from Plant selector plus,,,sewer_10,10,705
Planting Risks,707,invasive_roots,buttress,invasive_rootsbuttress,10,707,,forms large buttress roots,,,buttress,10,706
Planting Risks,708,invasive_roots,sewer_20,invasive_rootssewer_20,13,708,,NSW standard for risk plantings close to sewar pipes,,,sewer_20,13,707
Planting Risks,709,invasive_roots,invasive,invasive_rootsinvasive,34,709,,when this is the only word mentioned,,,invasive,34,708
Planting Risks,710,root_depth,deep,root_depthdeep,53,710,,These probably need combining with root volume category,,,,,
Planting Risks,711,root_depth,shallow,root_depthshallow,55,711,,These probably need combining with root volume category,,,,,
